LOCATION,SITE,BIBI
AACO: Church Creek,AA06MSI000001,1
AACO: Church Creek,AA06MSI000001,2.43
AACO: Church Creek,AA06MSI000001,1.57
AACO: Church Creek,AA06MSI000001,1.29
AACO: Church Creek,AA06MSI000001,1
AACO: Church Creek,AA06MSI000001,2
AACO: Church Creek,AA06MSI000001,1.57
AACO: Church Creek,AA06MSI000001,2.14
AACO: Church Creek,AA06MSI000001,1.86
AACO: Church Creek,AA06MSI000001,1.57
AACO: Church Creek,AA06MSI000001,1.57
AACO: Church Creek,AA06MSI000001,1.86
AACO: Church Creek,AA06MSI000002,1.86
AACO: Church Creek,AA06MSI000002,2.43
AACO: Church Creek,AA06MSI000002,1.86
AACO: Church Creek,AA06MSI000002,1.86
AACO: Church Creek,AA06MSI000002,2
AACO: Church Creek,AA06MSI000002,2
AACO: Church Creek,AA06MSI000002,1.86
AACO: Church Creek,AA06MSI000002,2.43
AACO: Church Creek,AA06MSI000002,2.71
AACO: Church Creek,AA06MSI000002,1.86
AACO: Church Creek,AA06MSI000002,1.57
AACO: Church Creek,AA06MSI000002,1.57
AACO: Church Creek,AA06MSI000003,2.71
AACO: Church Creek,AA06MSI000003,2.43
AACO: Church Creek,AA06MSI000003,2.14
AACO: Church Creek,AA06MSI000003,1.57
AACO: Church Creek,AA06MSI000003,2
AACO: Church Creek,AA06MSI000003,2
AACO: Church Creek,AA06MSI000003,1.57
AACO: Church Creek,AA06MSI000003,1.57
AACO: Church Creek,AA06MSI000003,1.86
AACO: Church Creek,AA06MSI000003,1.29
AACO: Church Creek,AA06MSI000003,2.14
AACO: Church Creek,AA06MSI000003,2.14
AACO: Church Creek,AA07MSI000004,2.71
AACO: Church Creek,AA07MSI000004,2.14
AACO: Church Creek,AA07MSI000004,2.43
AACO: Church Creek,AA07MSI000004,2.14
AACO: Church Creek,AA07MSI000004,2
AACO: Church Creek,AA07MSI000004,2
AACO: Church Creek,AA07MSI000004,2.14
AACO: Church Creek,AA07MSI000004,2.43
AACO: Church Creek,AA07MSI000004,1.29
AACO: Church Creek,AA07MSI000004,1.57
AACO: Church Creek,AA07MSI000004,1.86
AACO: Church Creek,AA07MSI000004,2.71
AACO: Picture Spring Branch,AA04MSI000005,3.29
AACO: Picture Spring Branch,AA04MSI000005,3.86
AACO: Picture Spring Branch,AA04MSI000005,2.71
AACO: Picture Spring Branch,AA04MSI000005,3
AACO: Picture Spring Branch,AA04MSI000005,2.71
AACO: Picture Spring Branch,AA04MSI000005,3
AACO: Picture Spring Branch,AA04MSI000005,3.29
AACO: Picture Spring Branch,AA04MSI000005,3.29
AACO: Picture Spring Branch,AA04MSI000005,3
AACO: Picture Spring Branch,AA04MSI000005,2.43
AACO: Picture Spring Branch,AA04MSI000005,2.43
AACO: Picture Spring Branch,AA04MSI000005,3.29
AACO: Picture Spring Branch,AA04MSI000006,3
AACO: Picture Spring Branch,AA04MSI000006,3
AACO: Picture Spring Branch,AA04MSI000006,2.43
AACO: Picture Spring Branch,AA04MSI000006,3
AACO: Picture Spring Branch,AA04MSI000006,3
AACO: Picture Spring Branch,AA04MSI000006,3
AACO: Picture Spring Branch,AA04MSI000006,3.29
AACO: Picture Spring Branch,AA04MSI000006,3
AACO: Picture Spring Branch,AA04MSI000006,3.29
AACO: Picture Spring Branch,AA04MSI000006,2.71
AACO: Picture Spring Branch,AA04MSI000006,2.71
AACO: Picture Spring Branch,AA04MSI000006,3
AACO: Picture Spring Branch,AA04MSI000007,3.57
AACO: Picture Spring Branch,AA04MSI000007,2.71
AACO: Picture Spring Branch,AA04MSI000007,1.57
AACO: Picture Spring Branch,AA04MSI000007,2
AACO: Picture Spring Branch,AA04MSI000007,2.43
AACO: Picture Spring Branch,AA04MSI000007,3
AACO: Picture Spring Branch,AA04MSI000007,2.71
AACO: Picture Spring Branch,AA04MSI000007,3
AACO: Picture Spring Branch,AA04MSI000007,3
AACO: Picture Spring Branch,AA04MSI000007,2.43
AACO: Picture Spring Branch,AA04MSI000007,3
AACO: Picture Spring Branch,AA04MSI000007,3.29
BACI: Moores Run,BC16MSI24,1.33
BACI: Moores Run,BC16MSI24,1.33
BACI: Moores Run,BC16MSI24,1
BACI: Moores Run,BC16MSI24,1.33
BACI: Moores Run,BC16MSI24,1.67
BACI: Moores Run,BC16MSI24,1.33
BACI: Moores Run,BC16MSI24,1.67
BACI: Moores Run,BC16MSI24,1.33
BACI: Moores Run,BC16MSI25,1.33
BACI: Moores Run,BC16MSI25,1.67
BACI: Moores Run,BC16MSI25,1
BACI: Moores Run,BC16MSI25,1.33
BACI: Moores Run,BC16MSI25,1.67
BACI: Moores Run,BC16MSI25,1.33
BACI: Moores Run,BC16MSI25,1.33
BACI: Moores Run,BC16MSI25,1
BACI: Moores Run Trib,BACI02IMR02,1.86
BACI: Moores Run Trib,BACI02IMR02,1.57
BACI: Moores Run Trib,BACI02IMR02,1
BACI: Moores Run Trib,BACI02IMR02,1.29
BACI: Moores Run Trib,BACI02IMR02,1
BACI: Moores Run Trib,BACI02IMR02,1
BACI: Moores Run Trib,BACI02IMR04,1.33
BACI: Moores Run Trib,BACI02IMR04,1.33
BACI: Moores Run Trib,BACI02IMR04,1.33
BACI: Moores Run Trib,BACI02IMR04,1.67
BACI: Moores Run Trib,BACI02IMR04,1
CACO: Air Business Ce,CR15MSI000001,2.33
CACO: Air Business Ce,CR15MSI000001,1.33
CACO: Air Business Ce,CR15MSI000001,2.67
CACO: Air Business Ce,CR15MSI000001,2
CACO: Air Business Ce,CR15MSI000001,2
CACO: Air Business Ce,CR15MSI000001,1.33
CACO: Air Business Ce,CR15MSI000002,1.67
CACO: Air Business Ce,CR15MSI000002,3
CACO: Air Business Ce,CR15MSI000002,3.33
CACO: Air Business Ce,CR15MSI000002,2.33
CACO: Air Business Ce,CR15MSI000002,3
