huc8,catalogingunitdescription,datatype,source,sampletype,sampledate,layer,latitude,longitude,pdepth,salzone,samplevolume,units,station,totaldepth,sampletime
,,phytp,odu/pel,c,2013-01-28t00:00:00,ap,37.58847,-76.16216,5,m,15,liter,cb6.1,14,13:15:00
,,phytp,odu/pel,c,2013-01-28t00:00:00,bp,37.58847,-76.16216,13.5,p,15,liter,cb6.1,14,13:15:00
,,phytp,odu/pel,c,2013-02-14t00:00:00,ap,37.58847,-76.16216,7,m,15,liter,cb6.1,12,11:09:00
,,phytp,odu/pel,c,2013-02-14t00:00:00,bp,37.58847,-76.16216,11.5,p,15,liter,cb6.1,12,11:09:00
,,phytp,odu/pel,c,2013-04-16t00:00:00,ap,37.58847,-76.16216,8,m,15,liter,cb6.1,13,11:51:00
,,phytp,odu/pel,c,2013-04-16t00:00:00,bp,37.58847,-76.16216,12.5,p,15,liter,cb6.1,13,11:51:00
,,phytp,odu/pel,c,2013-05-16t00:00:00,ap,37.58847,-76.16216,5,m,15,liter,cb6.1,13,16:34:00
,,phytp,odu/pel,c,2013-05-16t00:00:00,bp,37.58847,-76.16216,12.5,p,15,liter,cb6.1,13,16:34:00
,,phytp,odu/pel,c,2013-06-05t00:00:00,bp,37.58847,-76.16216,11.5,p,15,liter,cb6.1,12,15:22:00
,,phytp,odu/pel,c,2013-06-05t00:00:00,ap,37.58847,-76.16216,8,m,15,liter,cb6.1,12,15:22:00
,,phytp,odu/pel,c,2013-07-15t00:00:00,ap,37.58847,-76.16216,9,m,15,liter,cb6.1,12,15:29:00
,,phytp,odu/pel,c,2013-07-15t00:00:00,bp,37.58847,-76.16216,11.5,m,15,liter,cb6.1,12,15:29:00
,,phytp,odu/pel,c,2013-08-12t00:00:00,bp,37.58847,-76.16216,13.5,p,15,liter,cb6.1,14,15:45:00
,,phytp,odu/pel,c,2013-08-12t00:00:00,ap,37.58847,-76.16216,7,m,15,liter,cb6.1,14,15:45:00
,,phytp,odu/pel,c,2013-09-19t00:00:00,ap,37.58847,-76.16216,8,p,15,liter,cb6.1,14,11:18:00
,,phytp,odu/pel,c,2013-09-19t00:00:00,bp,37.58847,-76.16216,13.5,p,15,liter,cb6.1,14,11:18:00
,,phytp,odu/pel,c,2013-10-21t00:00:00,bp,37.58847,-76.16216,11.5,p,15,liter,cb6.1,12,15:28:00
,,phytp,odu/pel,c,2013-10-21t00:00:00,ap,37.58847,-76.16216,5,p,15,liter,cb6.1,12,15:28:00
,,phytp,odu/pel,c,2013-11-14t00:00:00,bp,37.58847,-76.16216,12.5,p,15,liter,cb6.1,13,11:11:00
,,phytp,odu/pel,c,2013-11-14t00:00:00,ap,37.58847,-76.16216,4,p,15,liter,cb6.1,13,11:11:00
,,phytp,odu/pel,c,2013-12-11t00:00:00,ap,37.58847,-76.16216,9,p,15,liter,cb6.1,13,16:41:00
,,phytp,odu/pel,c,2013-12-11t00:00:00,bp,37.58847,-76.16216,12.5,p,15,liter,cb6.1,13,16:41:00
,,phytp,odu/pel,c,2014-02-18t00:00:00,bp,37.58847,-76.16216,12.5,p,15,liter,cb6.1,13,07:32:00
,,phytp,odu/pel,c,2014-02-18t00:00:00,ap,37.58847,-76.16216,7,m,15,liter,cb6.1,13,07:32:00
,,phytp,odu/pel,c,2014-03-20t00:00:00,bp,37.58847,-76.16216,12.5,p,15,liter,cb6.1,13,10:45:00
,,phytp,odu/pel,c,2014-03-20t00:00:00,ap,37.58847,-76.16216,5,m,15,liter,cb6.1,13,10:45:00
,,phytp,odu/pel,c,2014-04-22t00:00:00,ap,37.58847,-76.16216,8,m,15,liter,cb6.1,12,11:14:00
,,phytp,odu/pel,c,2014-04-22t00:00:00,bp,37.58847,-76.16216,11.5,p,15,liter,cb6.1,12,11:14:00
,,phytp,odu/pel,c,2014-05-12t00:00:00,ap,37.58847,-76.16216,6,m,15,liter,cb6.1,12,16:02:00
,,phytp,odu/pel,c,2014-05-12t00:00:00,bp,37.58847,-76.16216,11.5,p,15,liter,cb6.1,12,16:02:00
,,phytp,odu/pel,c,2014-06-02t00:00:00,ap,37.58847,-76.16216,8,m,15,liter,cb6.1,12,15:40:00
,,phytp,odu/pel,c,2014-06-02t00:00:00,bp,37.58847,-76.16216,11.5,p,15,liter,cb6.1,12,15:40:00
,,phytp,odu/pel,c,2014-07-07t00:00:00,ap,37.58847,-76.16216,7,m,15,liter,cb6.1,11,13:39:00
,,phytp,odu/pel,c,2014-07-07t00:00:00,bp,37.58847,-76.16216,10.5,m,15,liter,cb6.1,11,13:39:00
,,phytp,odu/pel,c,2014-08-04t00:00:00,bp,37.58847,-76.16216,11.5,m,15,liter,cb6.1,12,15:55:00
,,phytp,odu/pel,c,2014-08-04t00:00:00,ap,37.58847,-76.16216,9,m,15,liter,cb6.1,12,15:55:00
,,phytp,odu/pel,c,2014-09-16t00:00:00,ap,37.58847,-76.16216,6,m,15,liter,cb6.1,12,11:25:00
,,phytp,odu/pel,c,2014-09-16t00:00:00,bp,37.58847,-76.16216,11.5,p,15,liter,cb6.1,12,11:25:00
,,phytp,odu/pel,c,2014-10-20t00:00:00,ap,37.58847,-76.16216,4,p,15,liter,cb6.1,12,14:43:00
,,phytp,odu/pel,c,2014-10-20t00:00:00,bp,37.58847,-76.16216,11.5,p,15,liter,cb6.1,12,14:43:00
,,phytp,odu/pel,c,2014-12-15t00:00:00,ap,37.58847,-76.16216,9,p,15,liter,cb6.1,13,15:15:00
,,phytp,odu/pel,c,2014-12-15t00:00:00,bp,37.58847,-76.16216,12.5,p,15,liter,cb6.1,13,15:15:00
,,phytp,odu/pel,c,2015-01-16t00:00:00,ap,37.58847,-76.16216,7,p,15,liter,cb6.1,12,09:46:00
,,phytp,odu/pel,c,2015-01-16t00:00:00,bp,37.58847,-76.16216,11.5,p,15,liter,cb6.1,12,09:46:00
,,phytp,odu/pel,c,2015-03-12t00:00:00,bp,37.58847,-76.16216,11.5,p,15,liter,cb6.1,12,15:06:00
,,phytp,odu/pel,c,2015-03-12t00:00:00,ap,37.58847,-76.16216,4,p,15,liter,cb6.1,12,15:06:00
,,phytp,odu/pel,c,2015-04-07t00:00:00,bp,37.58847,-76.16216,11.5,p,15,liter,cb6.1,12,11:54:00
,,phytp,odu/pel,c,2015-04-07t00:00:00,ap,37.58847,-76.16216,2,m,15,liter,cb6.1,12,11:54:00
