surveyid,fieldactivityid,source,sampletype,station,sampledate,layer,samplenumber,gmethod,tsn,latinname,size,method,parameter,reportingvalue,reportingunit,nodccode,speccode,serialnumber
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,0,blue_green_sphere,cell_b,ph103,count,3200,l,03,1389,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,0,green_cells,3-5_microns,ph103,count,297580.8,l,green_cells,429,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,0,micro-phytoflagellates,<10_microns,ph103,count,432844.8,l,phytoflag,804,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,0,psuedosolenia_calcar-avis,not_applicable,ph103,count,768,l,0702100104,118,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2288,centrales,<10_microns,ph103,count,703372.8,l,0702,1360,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2288,centrales,>60_microns,ph103,count,128,l,0702,1369,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2288,centrales,10-30_microns,ph103,count,113664,l,0702,1367,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2288,centrales,31-60_microns,ph103,count,1152,l,0702,1368,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2346,paralia_sulcata,not_applicable,ph103,count,640,l,0702010201,96,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2395,leptocylindrus_danicus,not_applicable,ph103,count,128,l,0702011201,88,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2396,leptocylindrus_minimus,not_applicable,ph103,count,184704,l,0702011202,89,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2402,skeletonema_costatum,not_applicable,ph103,count,1321344,l,0702020101,136,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2439,cyclotella,>30_microns,ph103,count,156288,l,07020203,955,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2440,cyclotella_caspia,not_applicable,ph103,count,1280,l,0702020301,956,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2453,cyclotella_striata,not_applicable,ph103,count,56832,l,0702020306,261,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2484,thalassiosira,not_applicable,ph103,count,512,l,07020205,156,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2546,coscinodiscus,not_applicable,ph103,count,2432,l,07020301,58,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2755,cerataulina_pelagica,not_applicable,ph103,count,142080,l,0702080202,18,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2758,chaetoceros,not_applicable,ph103,count,255744,l,07020901,20,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2902,rhizosolenia_setigera,not_applicable,ph103,count,768,l,0702100113,132,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2904,rhizosolenia_styliformis,not_applicable,ph103,count,768,l,0702100115,134,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2930,pennales,<10_microns,ph103,count,27052.8,l,0703,1362,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2930,pennales,>60_microns,ph103,count,1536,l,0703,1372,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2930,pennales,10-30_microns,ph103,count,227328,l,0703,1370,20181015cb6.4
453702,0,odu/pel,c,cb6.4,2018-03-15t00:00:00,ap,fs1,7,2930,pennales,31-60_microns,ph103,count,15872,l,0703,1371,20181015cb6.4
