monitoringstation,eventid,cruise,program,project,agency,source,station,sampledate,sampletime,totaldepth,upperpycnocline,lowerpycnocline,depth,layer,sampletype,samplereplicatetype,parameter,qualifier,measurevalue,unit,method,lab,problem,precisionpc,biaspc,details,latitude,longitude
cb6.1,444513,bay713,twqm,main,vadeq,odu,cb6.1,2018-01-18t00:00:00,14:49:00,12,,,1,s,d,s1,chla,"",5.874,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,444513,bay713,twqm,main,vadeq,odu,cb6.1,2018-01-18t00:00:00,14:49:00,12,,,4,ap,d,s1,chla,"",4.272,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,444513,bay713,twqm,main,vadeq,odu,cb6.1,2018-01-18t00:00:00,14:49:00,12,,,11,b,d,s1,chla,"",4.9128,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,444513,bay713,twqm,main,vadeq,odu,cb6.1,2018-01-18t00:00:00,14:49:00,12,,,8,bp,d,s1,chla,"",,ug/l,l01,odu,a,,,"",37.58847,-76.16216
cb6.1,444514,bay714,twqm,main,vadeq,odu,cb6.1,2018-02-15t00:00:00,11:10:00,12,5,9,4,ap,d,s1,chla,"",5.1264,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,444514,bay714,twqm,main,vadeq,odu,cb6.1,2018-02-15t00:00:00,11:10:00,12,5,9,1,s,d,s1,chla,"",3.9516,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,444514,bay714,twqm,main,vadeq,odu,cb6.1,2018-02-15t00:00:00,11:10:00,12,5,9,11,b,d,s1,chla,"",7.3692,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,444514,bay714,twqm,main,vadeq,odu,cb6.1,2018-02-15t00:00:00,11:10:00,12,5,9,10,bp,d,s1,chla,"",4.272,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,447889,bay719,twqm,main,vadeq,odu,cb6.1,2018-04-18t00:00:00,13:23:00,13,,,4,ap,d,s1,chla,"",12.1752,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,447889,bay719,twqm,main,vadeq,odu,cb6.1,2018-04-18t00:00:00,13:23:00,13,,,12,b,d,s1,chla,"",13.35,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,447889,bay719,twqm,main,vadeq,odu,cb6.1,2018-04-18t00:00:00,13:23:00,13,,,1,s,d,s1,chla,"",9.5052,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,447889,bay719,twqm,main,vadeq,odu,cb6.1,2018-04-18t00:00:00,13:23:00,13,,,8,bp,d,s1,chla,"",13.2432,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,448759,bay720,twqm,main,vadeq,odu,cb6.1,2018-05-14t00:00:00,17:18:00,12,7,7,6,ap,d,s1,chla,"",14.418,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,448759,bay720,twqm,main,vadeq,odu,cb6.1,2018-05-14t00:00:00,17:18:00,12,7,7,11,b,d,s1,chla,"",9.612,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,448759,bay720,twqm,main,vadeq,odu,cb6.1,2018-05-14t00:00:00,17:18:00,12,7,7,8,bp,d,s1,chla,"",17.4084,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,448759,bay720,twqm,main,vadeq,odu,cb6.1,2018-05-14t00:00:00,17:18:00,12,7,7,1,s,d,s1,chla,"",5.5536,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,448760,bay722,twqm,main,vadeq,odu,cb6.1,2018-06-06t00:00:00,08:32:00,12,10,10,1,s,d,s1,chla,"",6.6216,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,448760,bay722,twqm,main,vadeq,odu,cb6.1,2018-06-06t00:00:00,08:32:00,12,10,10,9,ap,d,s1,chla,"",6.7284,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,448760,bay722,twqm,main,vadeq,odu,cb6.1,2018-06-06t00:00:00,08:32:00,12,10,10,11,b,d,s1,chla,"",4.1652,ug/l,l01,odu,"",,,sample_collected_approximately_5_minutes_before_below_pycnocline_sample_collected.,37.58847,-76.16216
cb6.1,448760,bay722,twqm,main,vadeq,odu,cb6.1,2018-06-06t00:00:00,08:32:00,12,10,10,11,bp,d,s1,chla,"",3.0972,ug/l,l01,odu,"",,,sample_collected_approximately_5_minutes_after_bottom_sample_collected.,37.58847,-76.16216
cb6.1,448761,bay723,twqm,main,vadeq,odu,cb6.1,2018-06-28t00:00:00,08:55:00,12,4,4,3,ap,d,s1,chla,"",11.3208,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,448761,bay723,twqm,main,vadeq,odu,cb6.1,2018-06-28t00:00:00,08:55:00,12,4,4,1,s,d,s1,chla,"",11.3208,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,449486,bay724,twqm,main,vadeq,odu,cb6.1,2018-07-11t00:00:00,07:48:00,13,5,7,1,s,d,s1,chla,"",7.0488,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,448761,bay723,twqm,main,vadeq,odu,cb6.1,2018-06-28t00:00:00,08:55:00,12,4,4,11,b,d,s1,chla,"",1.9224,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,448761,bay723,twqm,main,vadeq,odu,cb6.1,2018-06-28t00:00:00,08:55:00,12,4,4,5,bp,d,s1,chla,"",7.6896,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,449486,bay724,twqm,main,vadeq,odu,cb6.1,2018-07-11t00:00:00,07:48:00,13,5,7,4,ap,d,s1,chla,"",7.9032,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,449486,bay724,twqm,main,vadeq,odu,cb6.1,2018-07-11t00:00:00,07:48:00,13,5,7,12,b,d,s1,chla,"",4.4856,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,449486,bay724,twqm,main,vadeq,odu,cb6.1,2018-07-11t00:00:00,07:48:00,13,5,7,8,bp,d,s1,chla,"",7.9032,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,449488,bay726,twqm,main,vadeq,odu,cb6.1,2018-08-07t00:00:00,15:20:00,13,4,6,3,ap,d,s1,chla,"",8.7576,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,449488,bay726,twqm,main,vadeq,odu,cb6.1,2018-08-07t00:00:00,15:20:00,13,4,6,12,b,d,s1,chla,"",2.136,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,449488,bay726,twqm,main,vadeq,odu,cb6.1,2018-08-07t00:00:00,15:20:00,13,4,6,7,bp,d,s1,chla,"",4.6992,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,449488,bay726,twqm,main,vadeq,odu,cb6.1,2018-08-07t00:00:00,15:20:00,13,4,6,1,s,d,s1,chla,"",9.612,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,449489,bay727,twqm,main,vadeq,odu,cb6.1,2018-08-27t00:00:00,16:38:00,12,9,9,1,s,d,s1,chla,"",10.5465,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,449489,bay727,twqm,main,vadeq,odu,cb6.1,2018-08-27t00:00:00,16:38:00,12,9,9,8,ap,d,s1,chla,"",5.874,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,449489,bay727,twqm,main,vadeq,odu,cb6.1,2018-08-27t00:00:00,16:38:00,12,9,9,11,b,d,s1,chla,"",2.2695,ug/l,l01,odu,"",,,"",37.58847,-76.16216
cb6.1,449489,bay727,twqm,main,vadeq,odu,cb6.1,2018-08-27t00:00:00,16:38:00,12,9,9,10,bp,d,s1,chla,"",3.8715,ug/l,l01,odu,"",,,"",37.58847,-76.16216
