huc8,eventid,cruise,program,project,agency,source,station,sampledate,sampletime,totaldepth,upperpycnocline,lowerpycnocline,depth,layer,sampletype,samplereplicatetype,parameter,qualifier,measurevalue,unit,method,lab,problem,precisionpc,biaspc,details,latitude,longitude
02080101,450738,bay734,twqm,main,vadeq,odu,cb5.5,2018-12-13t00:00:00,07:50:00,15,12,12,1,s,d,s1,chla,NA,22.428,ug/l,l01,odu,NA,NA,NA,NA,37.6918,-76.18967
02080101,450738,bay734,twqm,main,vadeq,odu,cb5.5,2018-12-13t00:00:00,07:50:00,15,12,12,11,ap,d,s1,chla,NA,10.3596,ug/l,l01,odu,NA,NA,NA,NA,37.6918,-76.18967
02080101,450738,bay734,twqm,main,vadeq,odu,cb5.5,2018-12-13t00:00:00,07:50:00,15,12,12,14,b,d,s1,chla,NA,6.942,ug/l,l01,odu,NA,NA,NA,NA,37.6918,-76.18967
02080101,450738,bay734,twqm,main,vadeq,odu,cb5.5,2018-12-13t00:00:00,07:50:00,15,12,12,13,bp,d,s1,chla,NA,7.0488,ug/l,l01,odu,NA,NA,NA,NA,37.6918,-76.18967
02080101,450740,bay734,twqm,main,vadeq,odu,cb6.1,2018-12-13t00:00:00,08:35:00,12,10,10,9,ap,d,s1,chla,NA,17.4084,ug/l,l01,odu,NA,NA,NA,NA,37.58847,-76.16216
02080101,450740,bay734,twqm,main,vadeq,odu,cb6.1,2018-12-13t00:00:00,08:35:00,12,10,10,11,b,d,s1,chla,NA,9.5052,ug/l,l01,odu,NA,NA,NA,sample_collected_approximately_5_minutes_before_below_pycnocline_sample_collected.,37.58847,-76.16216
02080101,450740,bay734,twqm,main,vadeq,odu,cb6.1,2018-12-13t00:00:00,08:35:00,12,10,10,11,bp,d,s1,chla,NA,8.01,ug/l,l01,odu,NA,NA,NA,sample_collected_approximately_5_minutes_after_bottom_sample_collected.,37.58847,-76.16216
02080101,450740,bay734,twqm,main,vadeq,odu,cb6.1,2018-12-13t00:00:00,08:35:00,12,10,10,1,s,d,s1,chla,NA,23.8164,ug/l,l01,odu,NA,NA,NA,NA,37.58847,-76.16216
02080101,450742,bay734,twqm,main,vadeq,odu,cb6.2,2018-12-13t00:00:00,10:40:00,10,3,8,2,ap,d,s1,chla,NA,38.6616,ug/l,l01,odu,NA,NA,NA,NA,37.4868,-76.15633
02080101,450742,bay734,twqm,main,vadeq,odu,cb6.2,2018-12-13t00:00:00,10:40:00,10,3,8,9,b,d,s1,chla,NA,8.3304,ug/l,l01,odu,NA,NA,NA,sample_collected_approximately_5_minutes_before_below_pycnocline_sample_collected.,37.4868,-76.15633
02080101,450742,bay734,twqm,main,vadeq,odu,cb6.2,2018-12-13t00:00:00,10:40:00,10,3,8,1,s,d,s1,chla,NA,38.6616,ug/l,l01,odu,NA,NA,NA,NA,37.4868,-76.15633
02080101,450742,bay734,twqm,main,vadeq,odu,cb6.2,2018-12-13t00:00:00,10:40:00,10,3,8,9,bp,d,s1,chla,NA,6.8352,ug/l,l01,odu,NA,NA,NA,sample_collected_approximately_5_minutes_after_bottom_sample_collected.,37.4868,-76.15633
02080101,450744,bay734,twqm,main,vadeq,odu,cb6.3,2018-12-13t00:00:00,11:10:00,12,7,7,6,ap,d,s1,chla,NA,10.146,ug/l,l01,odu,NA,NA,NA,NA,37.41153,-76.15966
02080101,450744,bay734,twqm,main,vadeq,odu,cb6.3,2018-12-13t00:00:00,11:10:00,12,7,7,11,b,d,s1,chla,NA,8.1168,ug/l,l01,odu,NA,NA,NA,NA,37.41153,-76.15966
