"","DateTime","site","flow"
"1",2019-10-07 00:00:00,"FW",107.69
"2",2019-10-07 01:00:00,"FW",107.69
"3",2019-10-07 02:00:00,"FW",107.69
"4",2019-10-07 03:00:00,"FW",107.69
"5",2019-10-07 04:00:00,"FW",107.69
"6",2019-10-07 05:00:00,"FW",107.69
"7",2019-10-07 06:00:00,"FW",107.69
"8",2019-10-07 07:00:00,"FW",107.69
"9",2019-10-07 08:00:00,"FW",107.69
"10",2019-10-07 09:00:00,"FW",107.69
"11",2019-10-07 10:00:00,"FW",107.69
"12",2019-10-07 11:00:00,"FW",107.69
"13",2019-10-07 12:00:00,"FW",107.69
"14",2019-10-07 13:00:00,"FW",107.69
"15",2019-10-07 14:00:00,"FW",107.69
"16",2019-10-07 15:00:00,"FW",107.69
"17",2019-10-07 16:00:00,"FW",107.69
"18",2019-10-07 17:00:00,"FW",107.69
"19",2019-10-07 18:00:00,"FW",107.69
"20",2019-10-07 19:00:00,"FW",107.69
"21",2019-10-07 20:00:00,"FW",107.69
"22",2019-10-07 21:00:00,"FW",107.69
"23",2019-10-07 22:00:00,"FW",107.69
"24",2019-10-07 23:00:00,"FW",107.69
"25",2019-10-08 00:00:00,"FW",111.99
"26",2019-10-08 01:00:00,"FW",111.99
"27",2019-10-08 02:00:00,"FW",111.99
"28",2019-10-08 03:00:00,"FW",111.99
"29",2019-10-08 04:00:00,"FW",111.99
"30",2019-10-08 05:00:00,"FW",111.99
"31",2019-10-08 06:00:00,"FW",111.99
"32",2019-10-08 07:00:00,"FW",111.99
"33",2019-10-08 08:00:00,"FW",111.99
"34",2019-10-08 09:00:00,"FW",111.99
"35",2019-10-08 10:00:00,"FW",111.99
"36",2019-10-08 11:00:00,"FW",111.99
"37",2019-10-08 12:00:00,"FW",111.99
"38",2019-10-08 13:00:00,"FW",111.99
"39",2019-10-08 14:00:00,"FW",111.99
"40",2019-10-08 15:00:00,"FW",111.99
"41",2019-10-08 16:00:00,"FW",111.99
"42",2019-10-08 17:00:00,"FW",111.99
"43",2019-10-08 18:00:00,"FW",111.99
"44",2019-10-08 19:00:00,"FW",111.99
"45",2019-10-08 20:00:00,"FW",111.99
"46",2019-10-08 21:00:00,"FW",111.99
"47",2019-10-08 22:00:00,"FW",111.99
"48",2019-10-08 23:00:00,"FW",111.99
"49",2019-10-09 00:00:00,"FW",91.97
"50",2019-10-09 01:00:00,"FW",91.97
"51",2019-10-09 02:00:00,"FW",91.97
"52",2019-10-09 03:00:00,"FW",91.97
"53",2019-10-09 04:00:00,"FW",91.97
"54",2019-10-09 05:00:00,"FW",91.97
"55",2019-10-09 06:00:00,"FW",91.97
"56",2019-10-09 07:00:00,"FW",91.97
"57",2019-10-09 08:00:00,"FW",91.97
"58",2019-10-09 09:00:00,"FW",91.97
"59",2019-10-09 10:00:00,"FW",91.97
"60",2019-10-09 11:00:00,"FW",91.97
"61",2019-10-09 12:00:00,"FW",91.97
"62",2019-10-09 13:00:00,"FW",91.97
"63",2019-10-09 14:00:00,"FW",91.97
"64",2019-10-09 15:00:00,"FW",91.97
"65",2019-10-09 16:00:00,"FW",91.97
"66",2019-10-09 17:00:00,"FW",91.97
"67",2019-10-09 18:00:00,"FW",91.97
"68",2019-10-09 19:00:00,"FW",91.97
"69",2019-10-09 20:00:00,"FW",91.97
"70",2019-10-09 21:00:00,"FW",91.97
"71",2019-10-09 22:00:00,"FW",91.97
"72",2019-10-09 23:00:00,"FW",91.97
"73",2019-10-10 00:00:00,"FW",104.93
"74",2019-10-10 01:00:00,"FW",104.93
"75",2019-10-10 02:00:00,"FW",104.93
"76",2019-10-10 03:00:00,"FW",104.93
"77",2019-10-10 04:00:00,"FW",104.93
"78",2019-10-10 05:00:00,"FW",104.93
"79",2019-10-10 06:00:00,"FW",104.93
"80",2019-10-10 07:00:00,"FW",104.93
"81",2019-10-10 08:00:00,"FW",104.93
"82",2019-10-10 09:00:00,"FW",104.93
"83",2019-10-10 10:00:00,"FW",104.93
"84",2019-10-10 11:00:00,"FW",104.93
"85",2019-10-10 12:00:00,"FW",104.93
"86",2019-10-10 13:00:00,"FW",104.93
"87",2019-10-10 14:00:00,"FW",104.93
"88",2019-10-10 15:00:00,"FW",104.93
"89",2019-10-10 16:00:00,"FW",104.93
"90",2019-10-10 17:00:00,"FW",104.93
"91",2019-10-10 18:00:00,"FW",104.93
"92",2019-10-10 19:00:00,"FW",104.93
"93",2019-10-10 20:00:00,"FW",104.93
"94",2019-10-10 21:00:00,"FW",104.93
"95",2019-10-10 22:00:00,"FW",104.93
"96",2019-10-10 23:00:00,"FW",104.93
"97",2019-10-11 00:00:00,"FW",105.69
"98",2019-10-11 01:00:00,"FW",105.69
"99",2019-10-11 02:00:00,"FW",105.69
"100",2019-10-11 03:00:00,"FW",105.69
"101",2019-10-11 04:00:00,"FW",105.69
"102",2019-10-11 05:00:00,"FW",105.69
"103",2019-10-11 06:00:00,"FW",105.69
"104",2019-10-11 07:00:00,"FW",105.69
"105",2019-10-11 08:00:00,"FW",105.69
"106",2019-10-11 09:00:00,"FW",105.69
"107",2019-10-11 10:00:00,"FW",105.69
"108",2019-10-11 11:00:00,"FW",105.69
"109",2019-10-11 12:00:00,"FW",105.69
"110",2019-10-11 13:00:00,"FW",105.69
"111",2019-10-11 14:00:00,"FW",105.69
"112",2019-10-11 15:00:00,"FW",105.69
"113",2019-10-11 16:00:00,"FW",105.69
"114",2019-10-11 17:00:00,"FW",105.69
"115",2019-10-11 18:00:00,"FW",105.69
"116",2019-10-11 19:00:00,"FW",105.69
"117",2019-10-11 20:00:00,"FW",105.69
"118",2019-10-11 21:00:00,"FW",105.69
"119",2019-10-11 22:00:00,"FW",105.69
"120",2019-10-11 23:00:00,"FW",105.69
"121",2019-10-12 00:00:00,"FW",118.92
"122",2019-10-12 01:00:00,"FW",118.92
"123",2019-10-12 02:00:00,"FW",118.92
"124",2019-10-12 03:00:00,"FW",118.92
"125",2019-10-12 04:00:00,"FW",118.92
"126",2019-10-12 05:00:00,"FW",118.92
"127",2019-10-12 06:00:00,"FW",118.92
"128",2019-10-12 07:00:00,"FW",118.92
"129",2019-10-12 08:00:00,"FW",118.92
"130",2019-10-12 09:00:00,"FW",118.92
"131",2019-10-12 10:00:00,"FW",118.92
"132",2019-10-12 11:00:00,"FW",118.92
"133",2019-10-12 12:00:00,"FW",118.92
"134",2019-10-12 13:00:00,"FW",118.92
"135",2019-10-12 14:00:00,"FW",118.92
"136",2019-10-12 15:00:00,"FW",118.92
"137",2019-10-12 16:00:00,"FW",118.92
"138",2019-10-12 17:00:00,"FW",118.92
"139",2019-10-12 18:00:00,"FW",118.92
"140",2019-10-12 19:00:00,"FW",118.92
"141",2019-10-12 20:00:00,"FW",118.92
"142",2019-10-12 21:00:00,"FW",118.92
"143",2019-10-12 22:00:00,"FW",118.92
"144",2019-10-12 23:00:00,"FW",118.92
"145",2019-10-13 00:00:00,"FW",101.19
"146",2019-10-13 01:00:00,"FW",101.19
"147",2019-10-13 02:00:00,"FW",101.19
"148",2019-10-13 03:00:00,"FW",101.19
