"","V1","V1","date","site","flow"
"1",1,1,"2019-11-13 00:00:00","lfalls",3570
"2",2,2,"2019-11-13 01:00:00","lfalls",3570
"3",3,3,"2019-11-13 02:00:00","lfalls",3570
"4",4,4,"2019-11-13 03:00:00","lfalls",3510
"5",5,5,"2019-11-13 04:00:00","lfalls",3510
"6",6,6,"2019-11-13 05:00:00","lfalls",3510
"7",7,7,"2019-11-13 06:00:00","lfalls",3450
"8",8,8,"2019-11-13 07:00:00","lfalls",3400
"9",9,9,"2019-11-13 08:00:00","lfalls",3340
"10",10,10,"2019-11-13 09:00:00","lfalls",3340
"11",11,11,"2019-11-13 10:00:00","lfalls",3230
"12",12,12,"2019-11-13 11:00:00","lfalls",3170
"13",13,13,"2019-11-13 12:00:00","lfalls",3230
"14",14,14,"2019-11-13 13:00:00","lfalls",3170
"15",15,15,"2019-11-13 14:00:00","lfalls",3170
"16",16,16,"2019-11-13 15:00:00","lfalls",3170
"17",17,17,"2019-11-13 16:00:00","lfalls",3170
"18",18,18,"2019-11-13 17:00:00","lfalls",3170
"19",19,19,"2019-11-13 18:00:00","lfalls",3170
"20",20,20,"2019-11-13 19:00:00","lfalls",3170
"21",21,21,"2019-11-13 20:00:00","lfalls",3170
"22",22,22,"2019-11-13 21:00:00","lfalls",3170
"23",23,23,"2019-11-13 22:00:00","lfalls",3230
"24",24,24,"2019-11-13 23:00:00","lfalls",3230
"25",25,25,"2019-11-14 00:00:00","lfalls",3280
"26",26,26,"2019-11-14 01:00:00","lfalls",3280
"27",27,27,"2019-11-14 02:00:00","lfalls",3280
"28",28,28,"2019-11-14 03:00:00","lfalls",3230
"29",29,29,"2019-11-14 04:00:00","lfalls",3230
"30",30,30,"2019-11-14 05:00:00","lfalls",3280
"31",31,31,"2019-11-14 06:00:00","lfalls",3230
"32",32,32,"2019-11-14 07:00:00","lfalls",3170
"33",33,33,"2019-11-14 08:00:00","lfalls",3120
"34",34,34,"2019-11-14 09:00:00","lfalls",3120
"35",35,35,"2019-11-14 10:00:00","lfalls",3060
"36",36,36,"2019-11-14 11:00:00","lfalls",3120
"37",37,37,"2019-11-14 12:00:00","lfalls",3060
"38",38,38,"2019-11-14 13:00:00","lfalls",3010
"39",39,39,"2019-11-14 14:00:00","lfalls",3060
"40",40,40,"2019-11-14 15:00:00","lfalls",3060
"41",41,41,"2019-11-14 16:00:00","lfalls",3120
"42",42,42,"2019-11-14 17:00:00","lfalls",3170
"43",43,43,"2019-11-14 18:00:00","lfalls",3170
"44",44,44,"2019-11-14 19:00:00","lfalls",3170
"45",45,45,"2019-11-14 20:00:00","lfalls",3170
"46",46,46,"2019-11-14 21:00:00","lfalls",3230
"47",47,47,"2019-11-14 22:00:00","lfalls",3230
"48",48,48,"2019-11-14 23:00:00","lfalls",3170
"49",49,49,"2019-11-15 00:00:00","lfalls",3170
"50",50,50,"2019-11-15 01:00:00","lfalls",3170
"51",51,51,"2019-11-15 02:00:00","lfalls",3230
"52",52,52,"2019-11-15 03:00:00","lfalls",3170
"53",53,53,"2019-11-15 04:00:00","lfalls",3170
"54",54,54,"2019-11-15 05:00:00","lfalls",3170
"55",55,55,"2019-11-15 06:00:00","lfalls",3120
"56",56,56,"2019-11-15 07:00:00","lfalls",3170
"57",57,57,"2019-11-15 08:00:00","lfalls",3120
"58",58,58,"2019-11-15 09:00:00","lfalls",3060
"59",59,59,"2019-11-15 10:00:00","lfalls",3010
"60",60,60,"2019-11-15 11:00:00","lfalls",2960
"61",61,61,"2019-11-15 12:00:00","lfalls",2960
"62",62,62,"2019-11-15 13:00:00","lfalls",2960
"63",63,63,"2019-11-15 14:00:00","lfalls",2960
"64",64,64,"2019-11-15 15:00:00","lfalls",2900
"65",65,65,"2019-11-15 16:00:00","lfalls",2900
"66",66,66,"2019-11-15 17:00:00","lfalls",2960
"67",67,67,"2019-11-15 18:00:00","lfalls",2960
"68",68,68,"2019-11-15 19:00:00","lfalls",2960
"69",69,69,"2019-11-15 20:00:00","lfalls",3010
"70",70,70,"2019-11-15 21:00:00","lfalls",3060
"71",71,71,"2019-11-15 22:00:00","lfalls",3060
"72",72,72,"2019-11-15 23:00:00","lfalls",3060
"73",73,73,"2019-11-16 00:00:00","lfalls",3120
"74",74,74,"2019-11-16 01:00:00","lfalls",3120
"75",75,75,"2019-11-16 02:00:00","lfalls",3120
"76",76,76,"2019-11-16 03:00:00","lfalls",3120
"77",77,77,"2019-11-16 04:00:00","lfalls",3120
