"","date","site","flow"
"1","2019-11-09 00:00:00","lfalls",4290
"2","2019-11-09 01:00:00","lfalls",4290
"3","2019-11-09 02:00:00","lfalls",4290
"4","2019-11-09 03:00:00","lfalls",4290
"5","2019-11-09 04:00:00","lfalls",4290
"6","2019-11-09 05:00:00","lfalls",4230
"7","2019-11-09 06:00:00","lfalls",4230
"8","2019-11-09 07:00:00","lfalls",4230
"9","2019-11-09 08:00:00","lfalls",4230
"10","2019-11-09 09:00:00","lfalls",4170
"11","2019-11-09 10:00:00","lfalls",4170
"12","2019-11-09 11:00:00","lfalls",4230
"13","2019-11-09 12:00:00","lfalls",4230
"14","2019-11-09 13:00:00","lfalls",4230
"15","2019-11-09 14:00:00","lfalls",4230
"16","2019-11-09 15:00:00","lfalls",4170
"17","2019-11-09 16:00:00","lfalls",4110
"18","2019-11-09 17:00:00","lfalls",4170
"19","2019-11-09 18:00:00","lfalls",4170
"20","2019-11-09 19:00:00","lfalls",4110
"21","2019-11-09 20:00:00","lfalls",4110
"22","2019-11-09 21:00:00","lfalls",4110
"23","2019-11-09 22:00:00","lfalls",4050
"24","2019-11-09 23:00:00","lfalls",4050
"25","2019-11-10 00:00:00","lfalls",3980
"26","2019-11-10 01:00:00","lfalls",4050
"27","2019-11-10 02:00:00","lfalls",3980
"28","2019-11-10 03:00:00","lfalls",3980
"29","2019-11-10 04:00:00","lfalls",3920
"30","2019-11-10 05:00:00","lfalls",3860
"31","2019-11-10 06:00:00","lfalls",3860
"32","2019-11-10 07:00:00","lfalls",3860
"33","2019-11-10 08:00:00","lfalls",3860
"34","2019-11-10 09:00:00","lfalls",3800
"35","2019-11-10 10:00:00","lfalls",3800
"36","2019-11-10 11:00:00","lfalls",3800
"37","2019-11-10 12:00:00","lfalls",3800
"38","2019-11-10 13:00:00","lfalls",3860
"39","2019-11-10 14:00:00","lfalls",3800
"40","2019-11-10 15:00:00","lfalls",3740
"41","2019-11-10 16:00:00","lfalls",3800
"42","2019-11-10 17:00:00","lfalls",3800
"43","2019-11-10 18:00:00","lfalls",3800
"44","2019-11-10 19:00:00","lfalls",3800
"45","2019-11-10 20:00:00","lfalls",3740
"46","2019-11-10 21:00:00","lfalls",3740
"47","2019-11-10 22:00:00","lfalls",3740
"48","2019-11-10 23:00:00","lfalls",3740
"49","2019-11-11 00:00:00","lfalls",3740
