"","DateTime","FW","WSSC","WA_GF","WA_LF","LW"
"1","dummy-row",NA,NA,NA,NA,NA
"2","dummy-row",NA,NA,NA,NA,NA
"3","dummy-row",NA,NA,NA,NA,NA
"4","dummy-row",NA,NA,NA,NA,NA
"5","dummy-row",NA,NA,NA,NA,NA
"6","dummy-row",NA,NA,NA,NA,NA
"7","dummy-row",NA,NA,NA,NA,NA
"8","dummy-row",NA,NA,NA,NA,NA
"9","dummy-row",NA,NA,NA,NA,NA
"10","dummy-row",NA,NA,NA,NA,NA
"11","2019-10-19 00:00:00",97.55,162.92,138.62,0,10.51
"12","2019-10-19 01:00:00",97.55,162.92,138.62,0,10.51
"13","2019-10-19 02:00:00",97.55,162.92,138.62,0,10.51
"14","2019-10-19 03:00:00",97.55,162.92,138.62,0,10.51
"15","2019-10-19 04:00:00",97.55,162.92,138.62,0,10.51
"16","2019-10-19 05:00:00",97.55,162.92,138.62,0,10.51
"17","2019-10-19 06:00:00",97.55,162.92,138.62,0,10.51
"18","2019-10-19 07:00:00",97.55,162.92,138.62,0,10.51
"19","2019-10-19 08:00:00",97.55,162.92,138.62,0,10.51
"20","2019-10-19 09:00:00",97.55,162.92,138.62,0,10.51
"21","2019-10-19 10:00:00",97.55,162.92,138.62,0,10.51
"22","2019-10-19 11:00:00",97.55,162.92,138.62,0,10.51
"23","2019-10-19 12:00:00",97.55,162.92,138.62,0,10.51
"24","2019-10-19 13:00:00",97.55,162.92,138.62,0,10.51
"25","2019-10-19 14:00:00",97.55,162.92,138.62,0,10.51
"26","2019-10-19 15:00:00",97.55,162.92,138.62,0,10.51
"27","2019-10-19 16:00:00",97.55,162.92,138.62,0,10.51
"28","2019-10-19 17:00:00",97.55,162.92,138.62,0,10.51
"29","2019-10-19 18:00:00",97.55,162.92,138.62,0,10.51
"30","2019-10-19 19:00:00",97.55,162.92,138.62,0,10.51
"31","2019-10-19 20:00:00",97.55,162.92,138.62,0,10.51
"32","2019-10-19 21:00:00",97.55,162.92,138.62,0,10.51
"33","2019-10-19 22:00:00",97.55,162.92,138.62,0,10.51
"34","2019-10-19 23:00:00",97.55,162.92,138.62,0,10.51
"35","2019-10-20 00:00:00",85.17,156.54,128.53,0,10.23
