"","DateTime","site","flow"
"1","2019-10-15 00:00:00","FW",118.98
"2","2019-10-15 01:00:00","FW",118.98
"3","2019-10-15 02:00:00","FW",118.98
"4","2019-10-15 03:00:00","FW",118.98
"5","2019-10-15 04:00:00","FW",118.98
"6","2019-10-15 05:00:00","FW",118.98
"7","2019-10-15 06:00:00","FW",118.98
"8","2019-10-15 07:00:00","FW",118.98
"9","2019-10-15 08:00:00","FW",118.98
"10","2019-10-15 09:00:00","FW",118.98
"11","2019-10-15 10:00:00","FW",118.98
"12","2019-10-15 11:00:00","FW",118.98
"13","2019-10-15 12:00:00","FW",118.98
"14","2019-10-15 13:00:00","FW",118.98
"15","2019-10-15 14:00:00","FW",118.98
"16","2019-10-15 15:00:00","FW",118.98
"17","2019-10-15 16:00:00","FW",118.98
"18","2019-10-15 17:00:00","FW",118.98
"19","2019-10-15 18:00:00","FW",118.98
"20","2019-10-15 19:00:00","FW",118.98
"21","2019-10-15 20:00:00","FW",118.98
"22","2019-10-15 21:00:00","FW",118.98
"23","2019-10-15 22:00:00","FW",118.98
"24","2019-10-15 23:00:00","FW",118.98
"25","2019-10-16 00:00:00","FW",104.65
"26","2019-10-16 01:00:00","FW",104.65
"27","2019-10-16 02:00:00","FW",104.65
"28","2019-10-16 03:00:00","FW",104.65
"29","2019-10-16 04:00:00","FW",104.65
"30","2019-10-16 05:00:00","FW",104.65
"31","2019-10-16 06:00:00","FW",104.65
"32","2019-10-16 07:00:00","FW",104.65
"33","2019-10-16 08:00:00","FW",104.65
"34","2019-10-16 09:00:00","FW",104.65
"35","2019-10-16 10:00:00","FW",104.65
"36","2019-10-16 11:00:00","FW",104.65
"37","2019-10-16 12:00:00","FW",104.65
"38","2019-10-16 13:00:00","FW",104.65
"39","2019-10-16 14:00:00","FW",104.65
"40","2019-10-16 15:00:00","FW",104.65
"41","2019-10-16 16:00:00","FW",104.65
"42","2019-10-16 17:00:00","FW",104.65
"43","2019-10-16 18:00:00","FW",104.65
"44","2019-10-16 19:00:00","FW",104.65
"45","2019-10-16 20:00:00","FW",104.65
"46","2019-10-16 21:00:00","FW",104.65
"47","2019-10-16 22:00:00","FW",104.65
"48","2019-10-16 23:00:00","FW",104.65
"49","2019-10-17 00:00:00","FW",98.56
"50","2019-10-17 01:00:00","FW",98.56
"51","2019-10-17 02:00:00","FW",98.56
"52","2019-10-17 03:00:00","FW",98.56
"53","2019-10-17 04:00:00","FW",98.56
"54","2019-10-17 05:00:00","FW",98.56
"55","2019-10-17 06:00:00","FW",98.56
"56","2019-10-17 07:00:00","FW",98.56
"57","2019-10-17 08:00:00","FW",98.56
"58","2019-10-17 09:00:00","FW",98.56
"59","2019-10-17 10:00:00","FW",98.56
"60","2019-10-17 11:00:00","FW",98.56
"61","2019-10-17 12:00:00","FW",98.56
"62","2019-10-17 13:00:00","FW",98.56
"63","2019-10-17 14:00:00","FW",98.56
"64","2019-10-17 15:00:00","FW",98.56
"65","2019-10-17 16:00:00","FW",98.56
"66","2019-10-17 17:00:00","FW",98.56
