surveyid,fieldactivityid,source,sampletype,station,sampledate,layer,samplenumber,gmethod,tsn,latinname,size,method,parameter,reportingvalue,reportingunit,nodccode,speccode,serialnumber
443012,0,odu/pel,c,cb6.4,2013-01-16t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,11091300,l,auto_pico,1148,20131015cb6.4
443012,0,odu/pel,c,cb6.4,2013-01-16t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,12099600,l,auto_pico,1148,20131015cb6.4
443014,0,odu/pel,c,le5.5-w,2013-01-16t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,10419100,l,auto_pico,1148,20131015le5.5-w
443014,0,odu/pel,c,le5.5-w,2013-01-16t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,11427400,l,auto_pico,1148,20131015le5.5-w
443010,0,odu/pel,c,we4.2,2013-01-16t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,10755200,l,auto_pico,1148,20131015we4.2
443010,0,odu/pel,c,we4.2,2013-01-16t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,11763500,l,auto_pico,1148,20131015we4.2
443020,0,odu/pel,c,cb6.1,2013-01-28t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,11763500,l,auto_pico,1148,20131015cb6.1
443020,0,odu/pel,c,cb6.1,2013-01-28t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,6722000,l,auto_pico,1148,20131015cb6.1
443018,0,odu/pel,c,cb7.3e,2013-01-28t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,9074700,l,auto_pico,1148,20131015cb7.3e
443018,0,odu/pel,c,cb7.3e,2013-01-28t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,5041500,l,auto_pico,1148,20131015cb7.3e
443016,0,odu/pel,c,cb7.4,2013-01-28t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,5713700,l,auto_pico,1148,20131015cb7.4
443016,0,odu/pel,c,cb7.4,2013-01-28t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,7394200,l,auto_pico,1148,20131015cb7.4
443022,0,odu/pel,c,le3.6,2013-01-28t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,3024900,l,auto_pico,1148,20131015le3.6
443022,0,odu/pel,c,le3.6,2013-01-28t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,4201250,l,auto_pico,1148,20131015le3.6
443026,0,odu/pel,c,cb7.3e,2013-02-13t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,6049800,l,auto_pico,1148,20131015cb7.3e
